#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P34926	uniprotkb:Q62696	intact:EBI-631571	intact:EBI-389325	psi-mi:map1a_rat(display_long)|uniprotkb:Map1a(gene name)|psi-mi:Map1a(display_short)|uniprotkb:Mtap1a(gene name synonym)	psi-mi:dlg1_rat(display_long)|uniprotkb:Dlg1(gene name)|psi-mi:Dlg1(display_short)|uniprotkb:Synapse-associated protein 97(gene name synonym)|uniprotkb:Dlgh1(gene name synonym)	psi-mi:"MI:0047"(far western blotting)	Brenman et al. (1998)	pubmed:9786987	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-632169	intact-miscore:0.52
uniprotkb:P62330	uniprotkb:P53365	intact:EBI-638181|uniprotkb:P26438|intact:EBI-2802827|uniprotkb:Q6FGZ2	intact:EBI-638194|uniprotkb:D3DQT5|uniprotkb:B4E306|uniprotkb:B4DX86	psi-mi:arf6_human(display_long)|uniprotkb:ARF6(gene name)|psi-mi:ARF6(display_short)	psi-mi:arfp2_human(display_long)|uniprotkb:ADP-ribosylation factor-interacting protein 2(gene name synonym)|uniprotkb:Partner of RAC1(gene name synonym)|uniprotkb:ARFIP2(gene name)|psi-mi:ARFIP2(display_short)|uniprotkb:POR1(gene name synonym)	psi-mi:"MI:0096"(pull down)	D'Souza-Schorey et al. (1997)	pubmed:9312003	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-638192	intact-miscore:0.57
uniprotkb:P62330	uniprotkb:P53365	intact:EBI-638181|uniprotkb:P26438|intact:EBI-2802827|uniprotkb:Q6FGZ2	intact:EBI-638194|uniprotkb:D3DQT5|uniprotkb:B4E306|uniprotkb:B4DX86	psi-mi:arf6_human(display_long)|uniprotkb:ARF6(gene name)|psi-mi:ARF6(display_short)	psi-mi:arfp2_human(display_long)|uniprotkb:ADP-ribosylation factor-interacting protein 2(gene name synonym)|uniprotkb:Partner of RAC1(gene name synonym)|uniprotkb:ARFIP2(gene name)|psi-mi:ARFIP2(display_short)|uniprotkb:POR1(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	D'Souza-Schorey et al. (1997)	pubmed:9312003	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-640595	intact-miscore:0.57
uniprotkb:P63000	uniprotkb:P53365	intact:EBI-413628|uniprotkb:O95501|uniprotkb:P15154|uniprotkb:Q3Y4D3|uniprotkb:Q5JAA8|uniprotkb:Q9BTB4	intact:EBI-638194|uniprotkb:D3DQT5|uniprotkb:B4E306|uniprotkb:B4DX86	psi-mi:rac1_human(display_long)|uniprotkb:MIG5(orf name)|uniprotkb:p21-Rac1(gene name synonym)|uniprotkb:Ras-like protein TC25(gene name synonym)|uniprotkb:Cell migration-inducing gene 5 protein(gene name synonym)|uniprotkb:TC25(gene name synonym)|uniprotkb:RAC1(gene name)|psi-mi:RAC1(display_short)	psi-mi:arfp2_human(display_long)|uniprotkb:ADP-ribosylation factor-interacting protein 2(gene name synonym)|uniprotkb:Partner of RAC1(gene name synonym)|uniprotkb:ARFIP2(gene name)|psi-mi:ARFIP2(display_short)|uniprotkb:POR1(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	D'Souza-Schorey et al. (1997)	pubmed:9312003	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-640616	intact-miscore:0.91
uniprotkb:P53365	uniprotkb:P62330	intact:EBI-638194|uniprotkb:D3DQT5|uniprotkb:B4E306|uniprotkb:B4DX86	intact:EBI-638181|uniprotkb:P26438|intact:EBI-2802827|uniprotkb:Q6FGZ2	psi-mi:arfp2_human(display_long)|uniprotkb:ADP-ribosylation factor-interacting protein 2(gene name synonym)|uniprotkb:Partner of RAC1(gene name synonym)|uniprotkb:ARFIP2(gene name)|psi-mi:ARFIP2(display_short)|uniprotkb:POR1(gene name synonym)	psi-mi:arf6_human(display_long)|uniprotkb:ARF6(gene name)|psi-mi:ARF6(display_short)	psi-mi:"MI:0018"(two hybrid)	D'Souza-Schorey et al. (1997)	pubmed:9312003	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-640619	intact-miscore:0.57
uniprotkb:P53365	uniprotkb:P61204	intact:EBI-638194|uniprotkb:D3DQT5|uniprotkb:B4E306|uniprotkb:B4DX86	intact:EBI-641535|uniprotkb:P16587|uniprotkb:A8K6G8|uniprotkb:B7ZB63	psi-mi:arfp2_human(display_long)|uniprotkb:ADP-ribosylation factor-interacting protein 2(gene name synonym)|uniprotkb:Partner of RAC1(gene name synonym)|uniprotkb:ARFIP2(gene name)|psi-mi:ARFIP2(display_short)|uniprotkb:POR1(gene name synonym)	psi-mi:arf3_human(display_long)|uniprotkb:ARF3(gene name)|psi-mi:ARF3(display_short)	psi-mi:"MI:0018"(two hybrid)	D'Souza-Schorey et al. (1997)	pubmed:9312003	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-640718	intact-miscore:0.37
uniprotkb:P53365	uniprotkb:P63000	intact:EBI-638194|uniprotkb:D3DQT5|uniprotkb:B4E306|uniprotkb:B4DX86	intact:EBI-413628|uniprotkb:O95501|uniprotkb:P15154|uniprotkb:Q3Y4D3|uniprotkb:Q5JAA8|uniprotkb:Q9BTB4	psi-mi:arfp2_human(display_long)|uniprotkb:ADP-ribosylation factor-interacting protein 2(gene name synonym)|uniprotkb:Partner of RAC1(gene name synonym)|uniprotkb:ARFIP2(gene name)|psi-mi:ARFIP2(display_short)|uniprotkb:POR1(gene name synonym)	psi-mi:rac1_human(display_long)|uniprotkb:MIG5(orf name)|uniprotkb:p21-Rac1(gene name synonym)|uniprotkb:Ras-like protein TC25(gene name synonym)|uniprotkb:Cell migration-inducing gene 5 protein(gene name synonym)|uniprotkb:TC25(gene name synonym)|uniprotkb:RAC1(gene name)|psi-mi:RAC1(display_short)	psi-mi:"MI:0010"(beta galactosidase complementation)	D'Souza-Schorey et al. (1997)	pubmed:9312003	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-641553	intact-miscore:0.91
uniprotkb:P62330	uniprotkb:P53365	intact:EBI-638181|uniprotkb:P26438|intact:EBI-2802827|uniprotkb:Q6FGZ2	intact:EBI-638194|uniprotkb:D3DQT5|uniprotkb:B4E306|uniprotkb:B4DX86	psi-mi:arf6_human(display_long)|uniprotkb:ARF6(gene name)|psi-mi:ARF6(display_short)	psi-mi:arfp2_human(display_long)|uniprotkb:ADP-ribosylation factor-interacting protein 2(gene name synonym)|uniprotkb:Partner of RAC1(gene name synonym)|uniprotkb:ARFIP2(gene name)|psi-mi:ARFIP2(display_short)|uniprotkb:POR1(gene name synonym)	psi-mi:"MI:0010"(beta galactosidase complementation)	D'Souza-Schorey et al. (1997)	pubmed:9312003	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-641579	intact-miscore:0.57
uniprotkb:P60484	uniprotkb:O88382	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	intact:EBI-696179|uniprotkb:Q9R271	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:magi2_rat(display_long)|uniprotkb:Aip1(gene name synonym)|uniprotkb:Membrane-associated guanylate kinase inverted 2(gene name synonym)|uniprotkb:Atrophin-1-interacting protein 1(gene name synonym)|uniprotkb:Synaptic-scaffolding molecule(gene name synonym)|uniprotkb:Sscam(gene name synonym)|uniprotkb:Magi2(gene name)|psi-mi:Magi2(display_short)|uniprotkb:Acvrinp1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Valiente et al. (2005)	pubmed:15951562	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-696175	intact-miscore:0.58
uniprotkb:Q9JK71	uniprotkb:P60484	intact:EBI-696226	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	psi-mi:magi3_rat(display_long)|uniprotkb:Slipr(gene name synonym)|uniprotkb:Membrane-associated guanylate kinase inverted 3(gene name synonym)|uniprotkb:Scaffolding-like protein(gene name synonym)|uniprotkb:Magi3(gene name)|psi-mi:Magi3(display_short)	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Valiente et al. (2005)	pubmed:15951562	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-696217	intact-miscore:0.51
uniprotkb:Q62696	uniprotkb:P60484	intact:EBI-389325	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	psi-mi:dlg1_rat(display_long)|uniprotkb:Dlg1(gene name)|psi-mi:Dlg1(display_short)|uniprotkb:Synapse-associated protein 97(gene name synonym)|uniprotkb:Dlgh1(gene name synonym)	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Valiente et al. (2005)	pubmed:15951562	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-696240	intact-miscore:0.40
uniprotkb:Q60592	uniprotkb:P60484	intact:EBI-493888|uniprotkb:Q6P9M1|uniprotkb:Q8CHD1	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	psi-mi:mast2_mouse(display_long)|uniprotkb:Mast205(gene name synonym)|uniprotkb:Mast2(gene name)|psi-mi:Mast2(display_short)	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Valiente et al. (2005)	pubmed:15951562	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-696259	intact-miscore:0.59
uniprotkb:O60307	uniprotkb:P60484	intact:EBI-311420|uniprotkb:Q7LDZ8|uniprotkb:Q9UPI0	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	psi-mi:mast3_human(display_long)|uniprotkb:MAST3(gene name)|psi-mi:MAST3(display_short)|uniprotkb:KIAA0561(gene name synonym)	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Valiente et al. (2005)	pubmed:15951562	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-696276	intact-miscore:0.59
uniprotkb:Q9R1L5	uniprotkb:P60484	intact:EBI-491771|uniprotkb:Q7TQG9|uniprotkb:Q80TN0	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	psi-mi:mast1_mouse(display_long)|uniprotkb:Syntrophin-associated serine/threonine-protein kinase(gene name synonym)|uniprotkb:Kiaa0973(gene name synonym)|uniprotkb:Mast1(gene name)|psi-mi:Mast1(display_short)|uniprotkb:Sast(gene name synonym)	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Valiente et al. (2005)	pubmed:15951562	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-696337	intact-miscore:0.59
uniprotkb:P60484	uniprotkb:Q9JK71	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	intact:EBI-696226	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:magi3_rat(display_long)|uniprotkb:Slipr(gene name synonym)|uniprotkb:Membrane-associated guanylate kinase inverted 3(gene name synonym)|uniprotkb:Scaffolding-like protein(gene name synonym)|uniprotkb:Magi3(gene name)|psi-mi:Magi3(display_short)	psi-mi:"MI:0096"(pull down)	Valiente et al. (2005)	pubmed:15951562	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-698665	intact-miscore:0.51
uniprotkb:P60484	uniprotkb:Q62696	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	intact:EBI-389325	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:dlg1_rat(display_long)|uniprotkb:Dlg1(gene name)|psi-mi:Dlg1(display_short)|uniprotkb:Synapse-associated protein 97(gene name synonym)|uniprotkb:Dlgh1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Valiente et al. (2005)	pubmed:15951562	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-698686	intact-miscore:0.40
uniprotkb:Q60592	uniprotkb:P60484	intact:EBI-493888|uniprotkb:Q6P9M1|uniprotkb:Q8CHD1	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	psi-mi:mast2_mouse(display_long)|uniprotkb:Mast205(gene name synonym)|uniprotkb:Mast2(gene name)|psi-mi:Mast2(display_short)	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Valiente et al. (2005)	pubmed:15951562	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-698709	intact-miscore:0.59
uniprotkb:O88382	uniprotkb:P60484	intact:EBI-696179|uniprotkb:Q9R271	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	psi-mi:magi2_rat(display_long)|uniprotkb:Aip1(gene name synonym)|uniprotkb:Membrane-associated guanylate kinase inverted 2(gene name synonym)|uniprotkb:Atrophin-1-interacting protein 1(gene name synonym)|uniprotkb:Synaptic-scaffolding molecule(gene name synonym)|uniprotkb:Sscam(gene name synonym)|uniprotkb:Magi2(gene name)|psi-mi:Magi2(display_short)|uniprotkb:Acvrinp1(gene name synonym)	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:"MI:0010"(beta galactosidase complementation)	Valiente et al. (2005)	pubmed:15951562	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-696373	intact-miscore:0.58
uniprotkb:Q9JK71	uniprotkb:P60484	intact:EBI-696226	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	psi-mi:magi3_rat(display_long)|uniprotkb:Slipr(gene name synonym)|uniprotkb:Membrane-associated guanylate kinase inverted 3(gene name synonym)|uniprotkb:Scaffolding-like protein(gene name synonym)|uniprotkb:Magi3(gene name)|psi-mi:Magi3(display_short)	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:"MI:0010"(beta galactosidase complementation)	Valiente et al. (2005)	pubmed:15951562	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-696384	intact-miscore:0.51
uniprotkb:P60484	uniprotkb:Q9R1L5	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	intact:EBI-491771|uniprotkb:Q7TQG9|uniprotkb:Q80TN0	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:mast1_mouse(display_long)|uniprotkb:Syntrophin-associated serine/threonine-protein kinase(gene name synonym)|uniprotkb:Kiaa0973(gene name synonym)|uniprotkb:Mast1(gene name)|psi-mi:Mast1(display_short)|uniprotkb:Sast(gene name synonym)	psi-mi:"MI:0010"(beta galactosidase complementation)	Valiente et al. (2005)	pubmed:15951562	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-696395	intact-miscore:0.59
uniprotkb:P60484	uniprotkb:Q60592	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	intact:EBI-493888|uniprotkb:Q6P9M1|uniprotkb:Q8CHD1	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:mast2_mouse(display_long)|uniprotkb:Mast205(gene name synonym)|uniprotkb:Mast2(gene name)|psi-mi:Mast2(display_short)	psi-mi:"MI:0010"(beta galactosidase complementation)	Valiente et al. (2005)	pubmed:15951562	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-696407	intact-miscore:0.59
uniprotkb:P60484	uniprotkb:O60307	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	intact:EBI-311420|uniprotkb:Q7LDZ8|uniprotkb:Q9UPI0	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:mast3_human(display_long)|uniprotkb:MAST3(gene name)|psi-mi:MAST3(display_short)|uniprotkb:KIAA0561(gene name synonym)	psi-mi:"MI:0010"(beta galactosidase complementation)	Valiente et al. (2005)	pubmed:15951562	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-696418	intact-miscore:0.59
uniprotkb:P60484	uniprotkb:O88382	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	intact:EBI-696179|uniprotkb:Q9R271	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:magi2_rat(display_long)|uniprotkb:Aip1(gene name synonym)|uniprotkb:Membrane-associated guanylate kinase inverted 2(gene name synonym)|uniprotkb:Atrophin-1-interacting protein 1(gene name synonym)|uniprotkb:Synaptic-scaffolding molecule(gene name synonym)|uniprotkb:Sscam(gene name synonym)|uniprotkb:Magi2(gene name)|psi-mi:Magi2(display_short)|uniprotkb:Acvrinp1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Valiente et al. (2005)	pubmed:15951562	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-696487	intact-miscore:0.58
uniprotkb:Q9R1L5	uniprotkb:P60484	intact:EBI-491771|uniprotkb:Q7TQG9|uniprotkb:Q80TN0	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	psi-mi:mast1_mouse(display_long)|uniprotkb:Syntrophin-associated serine/threonine-protein kinase(gene name synonym)|uniprotkb:Kiaa0973(gene name synonym)|uniprotkb:Mast1(gene name)|psi-mi:Mast1(display_short)|uniprotkb:Sast(gene name synonym)	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:"MI:0424"(protein kinase assay)	Valiente et al. (2005)	pubmed:15951562	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0217"(phosphorylation reaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-696512	intact-miscore:0.59
uniprotkb:O60307	uniprotkb:P60484	intact:EBI-311420|uniprotkb:Q7LDZ8|uniprotkb:Q9UPI0	intact:EBI-696162|uniprotkb:O00633|uniprotkb:O02679|uniprotkb:Q6ICT7|uniprotkb:B2R904|uniprotkb:F2YHV0	psi-mi:mast3_human(display_long)|uniprotkb:MAST3(gene name)|psi-mi:MAST3(display_short)|uniprotkb:KIAA0561(gene name synonym)	psi-mi:pten_human(display_long)|uniprotkb:Phosphatase and tensin homolog(gene name synonym)|uniprotkb:Mutated in multiple advanced cancers 1(gene name synonym)|uniprotkb:PTEN(gene name)|psi-mi:PTEN(display_short)|uniprotkb:MMAC1(gene name synonym)|uniprotkb:TEP1(gene name synonym)	psi-mi:"MI:0424"(protein kinase assay)	Valiente et al. (2005)	pubmed:15951562	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0217"(phosphorylation reaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-696526	intact-miscore:0.59
